0.014,0.014,0.004,0.001,0.0,0.012,0.005,0.002,0.002,0.006,0.017,0.007,0.007,0.007,0.03,0.013,0.025,0.02,0.003,0.002,0.002,0.006,0.005,0.001,0.002,0.004,0.003,0.003,0.027,0.008,0.004,0.005,0.027,0.0,0.008,0.022,0.611,0.003,0.007,0.004,0.027,0.016,0.003,0.003,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001
0.014,0.019,0.012,0.002,0.002,0.014,0.008,0.008,0.009,0.018,0.064,0.018,0.03,0.009,0.008,0.008,0.005,0.007,0.01,0.007,0.009,0.004,0.006,0.005,0.004,0.017,0.008,0.01,0.131,0.005,0.02,0.011,0.143,0.022,0.0,0.043,0.031,0.007,0.017,0.01,0.134,0.02,0.005,0.005,0.003,0.007,0.007,0.012,0.003,0.002,0.007,0.007,0.003,0.006,0.001,0.002,0.002
0.029,0.036,0.012,0.002,0.001,0.028,0.004,0.004,0.004,0.017,0.029,0.021,0.009,0.008,0.016,0.009,0.013,0.002,0.003,0.002,0.003,0.007,0.007,0.002,0.001,0.011,0.002,0.004,0.03,0.011,0.014,0.003,0.029,0.031,0.038,0.0,0.482,0.004,0.005,0.003,0.028,0.012,0.004,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.0,0.001,0.002
0.016,0.016,0.005,0.001,0.001,0.013,0.005,0.002,0.002,0.007,0.018,0.008,0.005,0.008,0.015,0.005,0.022,0.014,0.002,0.001,0.002,0.005,0.004,0.001,0.002,0.005,0.003,0.003,0.026,0.007,0.004,0.004,0.026,0.4,0.012,0.263,0.0,0.003,0.006,0.003,0.025,0.013,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001
0.007,0.007,0.003,0.0,0.0,0.006,0.01,0.001,0.001,0.027,0.003,0.028,0.003,0.001,0.017,0.004,0.012,0.003,0.004,0.007,0.091,0.001,0.024,0.044,0.033,0.004,0.009,0.001,0.029,0.019,0.004,0.195,0.041,0.018,0.001,0.002,0.017,0.0,0.117,0.07,0.095,0.015,0.001,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.006,0.005,0.001,0.001,0.0,0.002,0.003
0.001,0.004,0.002,0.0,0.0,0.002,0.006,0.005,0.007,0.015,0.032,0.007,0.033,0.0,0.004,0.0,0.026,0.002,0.005,0.004,0.01,0.001,0.003,0.004,0.002,0.001,0.003,0.001,0.184,0.002,0.003,0.072,0.184,0.003,0.0,0.002,0.003,0.042,0.0,0.108,0.207,0.004,0.0,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0
0.002,0.004,0.001,0.0,0.0,0.004,0.017,0.001,0.001,0.003,0.01,0.004,0.011,0.0,0.008,0.001,0.007,0.0,0.004,0.008,0.021,0.002,0.006,0.008,0.004,0.0,0.003,0.001,0.067,0.003,0.006,0.087,0.079,0.011,0.0,0.005,0.009,0.069,0.417,0.0,0.082,0.008,0.0,0.001,0.0,0.0,0.009,0.0,0.001,0.0,0.003,0.003,0.0,0.001,0.0,0.0,0.001
0.003,0.004,0.005,0.0,0.0,0.003,0.02,0.007,0.011,0.034,0.045,0.025,0.052,0.002,0.006,0.001,0.021,0.002,0.002,0.001,0.012,0.0,0.001,0.003,0.002,0.001,0.005,0.0,0.153,0.005,0.007,0.08,0.268,0.021,0.002,0.009,0.019,0.027,0.101,0.026,0.0,0.005,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
0.019,0.022,0.002,0.003,0.001,0.016,0.004,0.004,0.002,0.02,0.005,0.019,0.005,0.041,0.298,0.193,0.002,0.009,0.003,0.003,0.004,0.018,0.003,0.005,0.003,0.005,0.002,0.002,0.014,0.002,0.006,0.004,0.017,0.043,0.005,0.023,0.042,0.003,0.007,0.004,0.018,0.0,0.018,0.028,0.002,0.002,0.003,0.005,0.002,0.001,0.013,0.01,0.001,0.008,0.001,0.001,0.005
0.02,0.023,0.009,0.002,0.002,0.02,0.01,0.008,0.009,0.017,0.022,0.017,0.022,0.012,0.055,0.014,0.009,0.021,0.019,0.015,0.019,0.015,0.018,0.012,0.009,0.011,0.009,0.012,0.043,0.008,0.015,0.02,0.049,0.055,0.012,0.028,0.045,0.013,0.03,0.017,0.047,0.058,0.0,0.017,0.017,0.018,0.007,0.008,0.006,0.003,0.011,0.01,0.005,0.009,0.002,0.003,0.008
0.008,0.009,0.006,0.001,0.001,0.008,0.007,0.011,0.012,0.025,0.029,0.023,0.03,0.014,0.084,0.02,0.014,0.011,0.012,0.013,0.018,0.034,0.02,0.013,0.009,0.007,0.006,0.007,0.036,0.014,0.012,0.018,0.042,0.021,0.007,0.013,0.018,0.012,0.027,0.016,0.04,0.094,0.01,0.0,0.029,0.011,0.014,0.014,0.011,0.003,0.02,0.018,0.009,0.025,0.002,0.003,0.011
0.004,0.004,0.003,0.001,0.001,0.004,0.002,0.002,0.002,0.005,0.012,0.005,0.012,0.003,0.016,0.005,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.003,0.001,0.009,0.001,0.003,0.004,0.01,0.004,0.002,0.003,0.004,0.002,0.006,0.004,0.009,0.013,0.001,0.002,0.0,0.168,0.005,0.026,0.018,0.005,0.392,0.155,0.003,0.039,0.001,0.005,0.003
0.018,0.016,0.003,0.001,0.001,0.016,0.002,0.002,0.005,0.005,0.007,0.005,0.006,0.011,0.034,0.022,0.001,0.002,0.002,0.002,0.004,0.002,0.005,0.002,0.001,0.002,0.002,0.001,0.009,0.001,0.003,0.008,0.011,0.004,0.002,0.003,0.004,0.003,0.013,0.008,0.01,0.009,0.001,0.002,0.15,0.0,0.028,0.065,0.021,0.011,0.192,0.124,0.014,0.106,0.003,0.012,0.003
0.013,0.017,0.002,0.0,0.003,0.011,0.002,0.001,0.002,0.012,0.008,0.013,0.007,0.002,0.073,0.015,0.001,0.005,0.002,0.002,0.003,0.002,0.011,0.004,0.001,0.002,0.006,0.001,0.016,0.002,0.003,0.007,0.033,0.007,0.001,0.004,0.007,0.002,0.01,0.006,0.03,0.06,0.001,0.002,0.016,0.02,0.0,0.007,0.063,0.043,0.041,0.033,0.078,0.021,0.007,0.045,0.214
0.023,0.021,0.015,0.005,0.005,0.02,0.01,0.01,0.01,0.024,0.012,0.024,0.012,0.012,0.017,0.02,0.006,0.007,0.009,0.01,0.014,0.007,0.008,0.008,0.006,0.012,0.008,0.006,0.038,0.006,0.014,0.016,0.043,0.016,0.01,0.015,0.017,0.01,0.026,0.015,0.039,0.027,0.005,0.008,0.024,0.02,0.013,0.0,0.015,0.007,0.057,0.14,0.009,0.047,0.005,0.008,0.008
0.007,0.007,0.001,0.0,0.0,0.007,0.001,0.001,0.001,0.011,0.003,0.012,0.003,0.001,0.008,0.004,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.002,0.002,0.012,0.005,0.001,0.004,0.005,0.001,0.004,0.002,0.011,0.007,0.001,0.001,0.01,0.012,0.028,0.012,0.0,0.034,0.096,0.074,0.099,0.06,0.038,0.38,0.009
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.008,0.0,0.003,0.0,0.001,0.001,0.955,0.003,0.001,0.008,0.001
0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.005,0.001,0.005,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.001,0.004,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.003,0.002,0.0,0.0,0.031,0.029,0.003,0.009,0.006,0.0,0.0,0.751,0.001,0.123,0.001,0.001,0.0
0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.005,0.001,0.005,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.001,0.004,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.004,0.002,0.0,0.0,0.009,0.006,0.003,0.012,0.004,0.001,0.81,0.0,0.002,0.107,0.001,0.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.001,0.007,0.0,0.002,0.957,0.002,0.001,0.0,0.003,0.0,0.008,0.001
0.007,0.007,0.001,0.001,0.0,0.007,0.001,0.002,0.001,0.007,0.003,0.007,0.001,0.003,0.021,0.002,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.011,0.0,0.002,0.001,0.012,0.006,0.001,0.004,0.006,0.001,0.001,0.002,0.011,0.018,0.0,0.001,0.006,0.026,0.009,0.066,0.008,0.002,0.387,0.328,0.003,0.0,0.001,0.003,0.006
0.014,0.013,0.01,0.003,0.003,0.013,0.01,0.009,0.009,0.02,0.012,0.02,0.011,0.007,0.012,0.011,0.006,0.006,0.008,0.01,0.015,0.007,0.009,0.009,0.006,0.01,0.008,0.006,0.042,0.006,0.015,0.018,0.049,0.014,0.007,0.011,0.014,0.011,0.03,0.018,0.044,0.01,0.005,0.007,0.014,0.016,0.023,0.019,0.069,0.041,0.037,0.03,0.028,0.042,0.0,0.092,0.012
0.008,0.011,0.001,0.0,0.0,0.008,0.002,0.001,0.001,0.005,0.006,0.005,0.006,0.001,0.009,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0.002,0.003,0.014,0.008,0.001,0.006,0.008,0.002,0.019,0.011,0.006,0.003,0.001,0.001,0.004,0.003,0.028,0.006,0.356,0.113,0.03,0.024,0.201,0.02,0.033,0.0,0.004
0.003,0.003,0.002,0.001,0.001,0.003,0.002,0.002,0.002,0.01,0.002,0.01,0.002,0.002,0.007,0.003,0.001,0.002,0.002,0.003,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.01,0.002,0.003,0.005,0.012,0.004,0.002,0.003,0.004,0.003,0.032,0.019,0.011,0.007,0.001,0.003,0.006,0.013,0.645,0.005,0.012,0.024,0.013,0.011,0.042,0.013,0.004,0.011,0.0
